Rank,Sean Focus Callout,Route Eligibility,Current PL / Owner,Target Score,Tier,Referral Evidence Band,Operating Lane,Account / Practice,MMC Company ID,Practice Type,City,Full Address,MMC Groups,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,Last Patient Date,Last Completed Visit,Days Since Visit,Visit-Days 4W,Visit-Days 12W,Linked People,Frequency Status,Planned Cadence Days,Operating Status,Next Action,Coordinate Status,Referral Sources / Review Notes
105,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Spinal Recovery Center,8a8ab0c0-0b58-4f4a-99fa-ac580c9ceed2,Pain,Warren,"2243 Twelve Mile Rd, Warren, Michigan, 48092",Pain Management;Chiropractor,0,0,0,0,,2026-04-16 00:00:00,91,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
106,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Spinal Solutions Chiropractic & Wellness Center,b62e7019-8cec-4bc4-8795-042402b0f988,Chiropractor,Shelby Township,"8152 25 Mile Rd suite e, Shelby Township, Michigan, 48316",Chiropractor,0,0,0,0,,2026-02-25 00:00:00,141,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
107,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,"St Clair Shores, Ascension MyHealth Urgent Care",1ffb9253-14b8-4f7d-9d22-7a16ea0d7d91,Urgent Care,St. Clair Shores,"25515 Harper Ave, St. Clair Shores, Michigan, 48081",Urgent care,0,0,0,0,,2026-03-27 00:00:00,111,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
108,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Sterling Heights Primary Care,1326039116,PCP,Sterling Heights,"11600 15 Mile Rd, Sterling Heights, Michigan, 483125100",Internal Medicine/PCP,0,0,0,0,,2026-04-01 00:00:00,106,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
109,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Total Care Physicians Group,7dc76552-40a2-4fcd-9dba-21f6ba37b8f2,PCP,Clinton Township,"43361 Commons Dr, Clinton Township, Michigan, 48038",Internal Medicine/PCP,0,0,0,0,,2026-03-26 00:00:00,112,0,0,3,Past due,45,Likely Open – recent MMC visit,Increase: visit now; reset cadence,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
110,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Warren Urgent Care,ecbb2f66-1bc0-45b0-a9fa-72913b2703bf,Urgent Care,Warren,"31700 Van Dyke Ave, Warren, Michigan, 48093",Urgent care,0,0,0,0,,2026-04-16 00:00:00,91,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
111,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Waterford Clinic and Urgent Care,48a82421-a6d1-4f19-a9ae-b0175f5da78a,Urgent Care,Warren,"4402 E 9 Mile Rd, Warren, Michigan, 48091",Urgent care,0,0,0,0,,2026-05-05 00:00:00,72,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
112,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,24 Hour Lifeline Urgent Care,31c5e79f-2b0c-424c-8880-34c73f3d5822,Urgent Care,Warren,"12640 Twelve Mile Road, Warren, Michigan, 48093",Urgent care,0,0,0,0,,2026-03-24 00:00:00,114,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
113,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Basmit Medical Center,2da1dbcd-ee9a-4340-aa9e-f489bf31f67c,PCP,Sterling Heights,"35614 Dequindre Rd, Sterling Heights, Michigan, 48310",Internal Medicine/PCP;Geriatrics,0,0,0,0,,2026-03-20 00:00:00,118,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
114,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Beaumont St Clair Shores Family Medicine Center,8b21a717-0275-4903-9e29-5e0876aeea12,PCP,St. Clair Shores,"21400 11 Mile Rd, St. Clair Shores, MI, 48081",Internal Medicine/PCP,0,0,0,0,,2025-03-19 00:00:00,484,0,0,1,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
115,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Beaumont Urgent Care - Macomb,95815d25-928b-44a9-9eab-ebb314264337,Urgent Care,Macomb,"15959 Hall Rd SUITE 104, Macomb, MI 48044, United States, Macomb, Michigan, 48044",Urgent care,0,0,0,0,,2026-03-31 00:00:00,107,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
116,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Concentra Urgent Care - Sterling Heights,dc6067ed-60f7-4ae5-8b5b-7b8b03095484,Urgent Care,Sterling Heights,"39333 Van Dyke Ave, Sterling Heights, MI 48313, United States, Sterling Heights, Michigan, 48313",Urgent care,0,0,0,0,,2026-03-18 00:00:00,120,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
117,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Expansion / Test,DMC Primary Care Physicians,aa84092d-9fe9-4da4-894a-3cee1c6a4eae,PCP,St. Clair Shores,"24400 Greater Mack Ave, St. Clair Shores, Michigan, 48080",Geriatrics,0,0,0,0,,,,0,0,1,Unknown,45,Verify before route,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
118,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Dobra Medical,d4fae452-4372-4249-834e-907b5d3a44c2,PCP,Sterling Heights,"38300 Van Dyke Ave, Sterling Heights, Michigan, 48312",Internal Medicine/PCP,0,0,0,0,,2026-03-18 00:00:00,120,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
119,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Duchene Chiropractic Center,1528062080,Chiropractor,Clinton Township,"19199 15 Mile Rd, Clinton Township, MI, 480352508",Chiropractor,0,0,0,0,,2026-03-19 00:00:00,119,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
120,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,IEP Urgent Care - Clinton Township,873f8470-c8da-4605-9536-b1303a57969d,Urgent Care,Clinton Township,"16601 15 Mile Rd Clinton Twp, Clinton Township, Michigan, 48035",Urgent care,0,0,0,0,,2026-03-19 00:00:00,119,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
121,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Lake Victoria Medical Associates,1255407631,PCP,Roseville,"25959 Kelly Road, Roseville, Michigan, 48066",Internal Medicine/PCP,0,0,0,0,,2026-03-27 00:00:00,111,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
122,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,"Mouhamad Rihawi, MD",3a0e67cc-4884-44a8-9cc3-605a71f50747,PCP,Clinton Township,"15945 19 Mile Rd. Ste. 204, Clinton Township, Michigan, 48038",Internal Medicine/PCP,0,0,0,0,,2026-03-26 00:00:00,112,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
123,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,NuVision Health Center,f0618db9-7947-42e6-a170-17896c7120ca,Chiropractor,Macomb,"15300 21 Mile Rd, Macomb, Michigan, 48044",Chiropractor,0,0,0,0,,2026-01-02 00:00:00,195,0,0,1,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
124,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Expansion / Test,Office of Clara Kamath Wood MD,ccad7a72-2fa8-4c91-af14-5995cd5adacf,PCP,Roseville,"18245 East 10 Mile Road, ste 120, Roseville, Michigan, 48066",Internal Medicine/PCP,0,0,0,0,,2026-04-20 00:00:00,87,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
125,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Office of Mohammad Ghaffarloo MD,1275631764,PCP,Clinton Township,"15945 19 Mile Rd, ste 100, Clinton Township, Michigan, 480381147",Internal Medicine/PCP;Endocrinology,0,0,0,0,,2026-03-26 00:00:00,112,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
126,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Quality Medical Care,b6ab26a5-4fc4-4e01-8eb2-0ad308df928a,PCP,Sterling Heights,"38800 Ryan Rd, Sterling Heights, Michigan, 48310",Internal Medicine/PCP,0,0,0,0,,2026-03-31 00:00:00,107,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
127,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Roseville Medical,6b8b88a7-f328-4ed9-a513-eeb82ab243c8,PCP,Roseville,"25959 Kelly Rd, ste A, Roseville, MI, 48066",Internal Medicine/PCP;Hematology - oncology,0,0,0,0,,2026-03-27 00:00:00,111,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
128,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,BEAUMONT FAMILY MEDICINE CENTER,1d604048-db89-4d0e-a02f-5b32cbb05cef,PCP,SAINT CLAIR SHORES,"21400 E 11 MILE RD, SAINT CLAIR SHORES, Michigan",Internal Medicine/PCP,0,0,0,0,,2024-12-26 00:00:00,567,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
129,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Beaumont Urgent Care - Shelby Township,7029908f-15ae-4392-bee1-092ccc4acb4d,Urgent Care,Utica,"56293 Van Dyke Ave, Utica, MI 48316, United States, Utica, Michigan, 48316",Urgent care,0,0,0,0,,2025-12-01 00:00:00,227,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
130,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Chaldean Community Foundation Primary Care,1033349626,PCP,Sterling Heights,"3601 15 Mile Rd, ste 100, Sterling Heights, MI, 48310",Internal Medicine/PCP,0,0,0,0,,2025-03-05 00:00:00,498,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
131,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,HENRY FORD MACOMB HOSPITAL NEIGHBORS CARING FOR NEIGHBORS CLINIC,21c9d7c9-d864-48c6-bf43-cdad0a36da33,PCP,CLINTON TOWNSHIP,"15420 19 MILE RD STE 200, CLINTON TOWNSHIP, Michigan, 48038",Internal Medicine/PCP,0,0,0,0,,2025-07-10 00:00:00,371,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
132,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Medpointe Urgent Care - Fraser,5997bbe4-c6c0-4d81-83f5-64224165cbfe,Urgent Care,Fraser,"31290 Groesbeck Hwy, Fraser, Michigan, 48026",Urgent care,0,0,0,0,,2025-09-10 00:00:00,309,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
133,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Medpointe Urgent Care - Macomb,e069fd65-f64e-40c3-9079-98b80425db51,Urgent Care,Macomb,"20761 Hall Rd, Macomb, Michigan, 48044",Urgent care,0,0,0,0,,2025-07-29 00:00:00,352,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
134,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Michigan Urgent Care - Clinton Twp,bff6105d-462d-4354-9aed-19ca722a8eba,Urgent Care,Clinton Township,"22500 Metro Parkway, Clinton Township, Michigan, 48035",Urgent care,0,0,0,0,,2025-05-07 00:00:00,435,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
135,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,My Health Urgent Care (Ascension) - Clinton Township,f37e51fa-a303-438f-a2cf-88f9fad4c310,Urgent Care,Clinton Township,"44472 Hayes Rd, Clinton Twp, MI 48038, United States, Clinton Township, Michigan, 48038",Urgent care,0,0,0,0,,2026-02-05 00:00:00,161,0,0,0,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
136,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,MyHealth Ascenion Urgent Care - Warren,915e7f03-470f-402c-8bb4-3514cb79c6a8,Urgent Care,Warren,"31200 Mound Road, Warren, Michigan, 48092",Urgent care,0,0,0,0,,2025-02-25 00:00:00,506,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
137,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Schaefer chiropractic center,f06c4a23-c5e9-4410-801d-af21ffec19ee,Chiropractor,Sterling Heights,"4200 17 Mile Road, Sterling Heights, Michigan, 48310",Chiropractor,0,0,0,0,,2025-06-06 00:00:00,405,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
138,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Sunrise Urgent Care,0b2dd364-857f-4064-8780-c446479449c9,Urgent Care,Warren,"31500 Dequindre Rd suite 200, Warren, Michigan, 48092",Urgent care,0,0,0,0,,2026-04-16 00:00:00,91,0,0,0,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
139,Core Sterling / Macomb Lane,Route pool,Sean / Sean Sweeney,4,Prospect,Visit / Prospect,Reactivation,Professional Physical Therapy,01-159-9219,PT,Warren,"31150 Hoover Rd Ste C, Warren, MI, 48093-7618",Physical Therapy,0,0,0,0,,2025-02-24 00:00:00,507,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
140,Outside Sean Focus – Review,Priority route,Sean / Sean Sweeney,82,Tier 1,Repeat Spine Referrer,Proven Spine / Protect,Brigid Healthcare,63bf16ad-3645-45fb-8f1d-e1eb3a131efc,PCP,Troy,"3456 Rochester Rd, Troy, Michigan, 48083",Internal Medicine/PCP,2,1,0,3,2026-04-17 00:00:00,2026-04-14 00:00:00,93,0,0,2,Unknown,14,Likely Open – recent MMC visit,"Protect: thank, learn and expand spine",Exact MMC coordinate,"Matched referral source(s): Wang PA, Hui"
141,Outside Sean Focus – Review,Priority route,Sean / Sean Sweeney,82,Tier 1,Repeat Spine Referrer,Proven Spine / Protect,Get Well Urgent Care Madison Heights,346a1335-a97f-4a1a-9847-77f9e71383c3,Urgent Care,Madison Heights,"350 E 12 Mile Rd, Madison Heights, Michigan, 48071",Urgent care,2,1,0,3,2026-06-24 00:00:00,2026-03-25 00:00:00,113,0,0,9,Unknown,14,Likely Open – recent MMC visit,"Protect: thank, learn and expand spine",Exact MMC coordinate,Matched referral source(s): Get Well Urgent Care - Madison Heights; Getwell Urgent Care- Madison Heights
142,Outside Sean Focus – Review,Priority route,Sean / Sean Sweeney,69,Tier 1,One Spine Patient,Proven Spine / Protect,Berkley Urgent Care,1774d7c7-2d8b-42c6-9dac-78c2a9cf3ed8,Urgent Care,Berkley,"3270 Greenfield Rd, Berkley, Michigan, 48072",Urgent care,1,1,1,3,2026-05-21 00:00:00,2026-03-23 00:00:00,115,0,0,3,Unknown,14,Likely Open – recent MMC visit,Convert: ask for the next spine patient,Exact MMC coordinate,Matched referral source(s): Berkley Urgent Care
143,Outside Sean Focus – Review,Priority route,Sean / Sean Sweeney,50,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Downriver Internists,1992798961,PCP,Oak Park,"13801 W 9 Mile Rd, Oak Park, MI, 48237",Internal Medicine/PCP,0,2,0,2,2026-05-14 00:00:00,2026-04-22 00:00:00,85,0,0,2,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Gatla MD, Srinivas"
144,Outside Sean Focus – Review,Priority route,Sean / Sean Sweeney,46,Tier 2,Ortho Referrer,Ortho / Cross-Sell,Wattles Internal Medicine- use,ea9682a6-09ea-4d32-a71d-171ffffb7847,PCP,Troy,"1950 E Wattles Rd suite 101, Troy, Michigan, 48085",Internal Medicine/PCP,0,1,0,1,2026-07-07 00:00:00,2026-06-05 00:00:00,41,0,1,4,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Zohoury DO, Mark"
145,Outside Sean Focus – Review,Priority route,Sean / Sean Sweeney,45,Tier 2,Ortho Referrer,Ortho / Cross-Sell,South Lyon Family Docs,573750f7-b7bd-4246-b7ac-f1217823639f,PCP,South Lyon,"26006 Pontiac Trail, South Lyon, MI, 48178",Internal Medicine/PCP,0,1,0,1,2026-05-20 00:00:00,2026-03-04 00:00:00,134,0,0,3,Unknown,21,Likely Open – recent MMC visit,Cross-sell: make a direct spine ask,Exact MMC coordinate,"Matched referral source(s): Eberhardt DO, Brandy"
146,Outside Sean Focus – Review,Priority route,Sean / Sean Sweeney,21,Tier 3,Other Patient Referrer,Other B2B / Cross-Sell,Academic Internal Medicine (Ascension),97ae4125-fd10-47de-8cae-c053e42232d0,PCP,Washington,"57850 Van Dyke Ave ste 600, Washington, Michigan, 48094",Internal Medicine/PCP,0,0,1,1,2026-04-16 00:00:00,2026-03-17 00:00:00,121,0,0,5,Unknown,30,Likely Open – recent MMC visit,Cross-sell: qualify spine opportunity,Exact MMC coordinate,"Matched referral source(s): Kulairi MD, Zain"
147,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,11,Prospect,Visit / Prospect,Expansion / Test,Center for Advanced Orthopedics,9d3b5b54-e102-4968-bcd9-7834c90f6b25,Orthopedic,Auburn Hills,"3100 Cross Creek Pkwy #200, Auburn Hills, Michigan, 48326",Orthopedic Surgery,0,0,0,0,,2026-05-15 00:00:00,62,0,2,15,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
148,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,11,Prospect,Visit / Prospect,Expansion / Test,Institute for Athletic Medicine,11803989-f262-4602-9387-bb964016ac84,Orthopedic,Auburn Hills,"937 N Opdyke Rd, Auburn Hills, Michigan, 48326",Sports Medicine;Orthopedic Surgery,0,0,0,0,,2026-05-22 00:00:00,55,0,2,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
149,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,11,Prospect,Visit / Prospect,Expansion / Test,Michigan Surgery Specialists - Auburn Hills,f84205f7-5e39-4dc7-9a6d-9395aadc8a43,Orthopedic,Auburn Hills,"3100 Cross Creek Pkwy suite 150, Auburn Hills, Michigan, 48326",Orthopedic Surgery,0,0,0,0,,2026-06-02 00:00:00,44,0,3,5,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
150,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,11,Prospect,Visit / Prospect,Expansion / Test,Pain Clinic of Michigan - Rochester Hills,09-980-4799,Pain,Rochester Hills,"2820 Crooks Rd Ste 100, Rochester Hills, MI, 48309",Pain Management,0,0,0,0,,2026-05-20 00:00:00,57,0,2,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
151,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,11,Prospect,Visit / Prospect,Expansion / Test,Pain Clinic of Michigan - Troy,a04caf22-eaed-4ceb-9ebe-445dd911f769,Pain,Troy,"2885 E Long Lake Rd suite a b, Troy, Michigan, 48085",Pain Management,0,0,0,0,,2026-05-20 00:00:00,57,0,3,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
152,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,1st Choice Urgent Care - Crooks Rd,06-596-5505,Urgent Care,Royal Oak,"4080 Crooks Rd, Royal Oak, Michigan, 48073-2428",Urgent care,0,0,0,0,,2026-06-08 00:00:00,38,0,2,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
153,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Beaumont Orthopedic Institute,1497736771,Orthopedic,Royal Oak,"535 West 13 Mile Road, Suite 742, Royal Oak, MI, 48073",Orthopedic Surgery,0,0,0,0,,2026-05-06 00:00:00,71,0,1,5,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
154,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Ducharme Chiropractic,4fbb2f0d-43bd-46f7-addf-1c08e071fe49,Chiropractor,Rochester Hills,"111 Rochdale Dr S, Rochester Hills, Michigan, 48309",Chiropractor,0,0,0,0,,2026-05-19 00:00:00,58,0,2,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
155,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Current / Maintain,Emcura Immediate Care - Royal Oak,06dff44e-ffaa-482c-b11f-92de008ce8b9,Urgent Care,Royal Oak,"2140 Twelve Mile Road, Royal Oak, Michigan, 48067",Urgent care,0,0,0,0,,2026-06-24 00:00:00,22,1,2,1,Unknown,45,Likely Open – recent MMC visit,Keep: reinforce spine access,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
156,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Reactivation,Michigan Orthopedic Surgeons - Kirts Blvd,1568420305,Orthopedic,Troy,"1350 Kirts Blvd, Troy, Michigan, 480844851",Orthopedic Surgery,0,0,0,0,,2026-05-06 00:00:00,71,0,1,10,Past due,45,Likely Open – recent MMC visit,Increase: visit now; reset cadence,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
157,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Michigan Orthopedic Surgeons - Royal Oak,1760484901,Orthopedic,Royal Oak,"30575 Woodward Ave, Royal Oak, MI, 480730980",Orthopedic - PT;Orthopedic Surgery,0,0,0,0,,2026-05-06 00:00:00,71,0,1,10,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
158,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Michigan Orthopedic Surgeons - Troy,6fdb18a7-08ae-47a1-b793-46b6c7ee7379,Orthopedic,Troy,"4967 Crooks Rd suite 100, Troy, Michigan, 48098",Orthopedic - PT;Orthopedic Surgery,0,0,0,0,,2026-05-06 00:00:00,71,0,1,21,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
